5000;16.5;0.039;7.43;15.2;0.023;8.16;
10000;30.6;0.033;12.8;30.3;0.036;14.2;
15000;52.6;0.033;20.6;46.9;0.032;23.9;
20000;74.4;0.052;34;73.6;0.049;43.1;
25000;90.3;0.036;38.1;79.3;0.039;39.8;
30000;108;0.05;44.5;94.7;0.032;46.4;
35000;124;0.048;49.5;110;0.03;92.7;
40000;114;0.034;47.8;103;0.026;51;
45000;133;0.076;53.4;115;0.029;57.5;
50000;144;0.164;56.9;126;0.033;64.9;
