5000;0.369;0.369;
10000;0.368;0.368;
15000;0.603;0.603;
20000;1.06;1.06;
25000;0.899;0.899;
30000;0.466;0.466;
35000;0.852;0.852;
40000;0.408;0.408;
45000;0.451;0.451;
50000;0.382;0.382;
